url,title,bucket,priority,error,status,raw_path,extracted_path,bytes,chars
https://www.dni.gov/files/NCTC/documents/guidetoanalysis/guide_to_the_analysis_of_insurgency2012.pdf,NCTC Guide to the Analysis of Insurgency,ct_doctrine_us_sof,P1,403 Client Error: Forbidden for url: https://www.dni.gov/files/NCTC/documents/guidetoanalysis/guide_to_the_analysis_of_insurgency2012.pdf,fail,,,0,0
https://www.dni.gov/files/NCTC/documents/news_documents/NCTC-Al-Qaida-Recent-Calls-to-Conduct-Attacks-Highlights-Enduring-Threat-Sept2025.pdf,Al Qa'ida's Recent Calls to Conduct Attacks Highlights Enduring Threat,ct_org_aq_family,P1,403 Client Error: Forbidden for url: https://www.dni.gov/files/NCTC/documents/news_documents/NCTC-Al-Qaida-Recent-Calls-to-Conduct-Attacks-Highlights-Enduring-Threat-Sept2025.pdf,fail,,,0,0
https://www.dia.mil/Portals/110/Images/News/Military_Powers_Publications/Nuclear_Challenges_2024.pdf,Nuclear Challenges 2024,oob_dia_dprk,P1,403 Client Error: Forbidden for url: https://www.dia.mil/Portals/110/Images/News/Military_Powers_Publications/Nuclear_Challenges_2024.pdf,fail,,,0,0
https://www.dni.gov/files/NCTC/documents/news_documents/NCTC_Watchlisting_Counterterrorism_Lexicon.pdf,Counterterrorism Lexicon,ct_doctrine_us_sof,P1,403 Client Error: Forbidden for url: https://www.dni.gov/files/NCTC/documents/news_documents/NCTC_Watchlisting_Counterterrorism_Lexicon.pdf,fail,,,0,0
https://www.dia.mil/portals/110/images/news/military_powers_publications/iran_military_power_lr.pdf,Iran Military Power,oob_dia_iran,P1,403 Client Error: Forbidden for url: https://www.dia.mil/portals/110/images/news/military_powers_publications/iran_military_power_lr.pdf,fail,,,0,0
https://www.dni.gov/files/ODNI/documents/assessments/ATA-2022-Unclassified-Report.pdf,Annual Threat Assessment of the US Intelligence Community 2022,china_odni_ata,P1,403 Client Error: Forbidden for url: https://www.dni.gov/files/ODNI/documents/assessments/ATA-2022-Unclassified-Report.pdf,fail,,,0,0
https://www.dni.gov/files/ODNI/documents/assessments/ATA-2023-Unclassified-Report.pdf,Annual Threat Assessment of the US Intelligence Community 2023,china_odni_ata,P1,403 Client Error: Forbidden for url: https://www.dni.gov/files/ODNI/documents/assessments/ATA-2023-Unclassified-Report.pdf,fail,,,0,0
https://www.dni.gov/files/ODNI/documents/assessments/ATA-2024-Unclassified-Report.pdf,Annual Threat Assessment of the US Intelligence Community 2024,china_odni_ata,P1,403 Client Error: Forbidden for url: https://www.dni.gov/files/ODNI/documents/assessments/ATA-2024-Unclassified-Report.pdf,fail,,,0,0
https://www.dni.gov/files/ODNI/documents/assessments/ATA-2025-Unclassified-Report.pdf,Annual Threat Assessment of the US Intelligence Community 2025,china_odni_ata,P1,403 Client Error: Forbidden for url: https://www.dni.gov/files/ODNI/documents/assessments/ATA-2025-Unclassified-Report.pdf,fail,,,0,0
https://www.dni.gov/files/ODNI/documents/assessments/ATA-2026-Unclassified-Report.pdf,Annual Threat Assessment of the US Intelligence Community 2026,china_odni_ata,P1,403 Client Error: Forbidden for url: https://www.dni.gov/files/ODNI/documents/assessments/ATA-2026-Unclassified-Report.pdf,fail,,,0,0
